,Stkcd,Trddt,SpecificVar
13127,979,2014-10-01,0.004516455613882396
13128,979,2014-11-01,0.0052548318142888115
13129,979,2014-12-01,0.005695008043121054
13130,979,2015-01-01,0.006172233753687777
13131,979,2015-02-01,0.005533381534668802
13132,979,2015-03-01,0.011615983713821146
13133,979,2015-04-01,0.010284287063479497
13134,979,2015-05-01,0.010170851329905844
13135,979,2015-11-01,0.010084760729566872
13136,979,2015-12-01,0.016650292154655005
13137,979,2016-01-01,0.014760656870122672
13138,979,2016-02-01,0.014115772664468252
13139,979,2016-03-01,0.01294117013485646
13140,979,2016-04-01,0.012054077134469628
13141,979,2016-05-01,0.011220438827141509
13142,979,2016-06-01,0.01036646543793812
13143,979,2016-07-01,0.009898804311044906
13144,979,2016-08-01,0.004878467215693154
13145,979,2016-09-01,0.004306691694284286
13146,979,2016-10-01,0.0033942712212645114
13147,979,2016-11-01,0.0035132943583151507
13148,979,2016-12-01,0.0006570036370138689
13160,980,2014-03-01,0.005185808594948974
13161,980,2014-04-01,0.00494656965788644
13162,980,2014-05-01,0.003432410892353134
13163,980,2014-06-01,0.0021065963457770802
13164,980,2014-07-01,0.0021301171824075547
13165,980,2014-08-01,0.009598998035647397
13166,980,2014-09-01,0.00928955434846609
13167,980,2014-10-01,0.008616450709745415
13168,980,2014-11-01,0.008400351739400319
13169,980,2014-12-01,0.008014299248465044
13170,980,2015-01-01,0.010078983646120534
13171,980,2015-02-01,0.009048130344133275
13172,980,2015-03-01,0.008990327762346257
13173,980,2015-04-01,0.008670650308914942
13174,980,2015-05-01,0.011095541718923553
13175,980,2015-06-01,0.01312827361800046
13176,980,2015-07-01,0.012874792928511286
13177,980,2015-08-01,0.0077914833096666075
13178,980,2015-09-01,0.007522936068243241
13179,980,2016-05-01,0.0071307552647271255
13180,980,2016-06-01,0.008566694708409131
13181,980,2016-07-01,0.008356402534347959
13182,980,2016-08-01,0.006753795040006874
13183,980,2016-09-01,0.00691417004309497
13184,980,2016-10-01,0.008043042070368786
13185,980,2016-11-01,0.00994985221341263
13186,980,2016-12-01,0.008146829818869663
13198,981,2014-11-01,0.0056957888553431845
13199,981,2014-12-01,0.005444475473644049
13200,981,2015-01-01,0.005837050209941653
13201,981,2015-02-01,0.005297566054409126
13202,981,2015-03-01,0.005163901979300994
13203,981,2015-04-01,0.010144036842976545
13204,981,2015-07-01,0.01394658339833344
13205,981,2015-08-01,0.013320701053276087
13206,981,2016-04-01,0.012561773668595254
13207,981,2016-05-01,0.013325308338141266
13208,981,2016-06-01,0.014477412933368981
13209,981,2016-07-01,0.017958287013194057
13210,981,2016-08-01,0.01958402175981135
13211,981,2016-09-01,0.019430055199127206
13212,981,2016-10-01,0.018490636777898042
13213,981,2016-11-01,0.016913229829393434
13214,981,2016-12-01,0.014819641442029144
13226,982,2014-04-01,0.003714580089797425
13227,982,2014-07-01,0.003556142424184356
13228,982,2014-08-01,0.0033585792640369004
13229,982,2016-03-01,0.0076048532262157215
13230,982,2016-04-01,0.008924576253165646
13231,982,2016-05-01,0.011429048762103258
13232,982,2016-06-01,0.010870327761211147
13233,982,2016-07-01,0.011214858689240227
13234,982,2016-08-01,0.010838066676590258
13235,982,2016-09-01,0.010221024150520324
13236,982,2016-10-01,0.01046407291478083
13237,982,2016-11-01,0.02619591777137681
13249,983,2014-03-01,0.0010635902333517376
13250,983,2014-04-01,0.0010126760354232875
13251,983,2014-05-01,0.0009586051950591345
13252,983,2014-06-01,0.000872795823708779
13253,983,2014-07-01,0.000701304226154584
13254,983,2014-08-01,0.0005804282137113927
13255,983,2014-09-01,0.0006705020200999501
13256,983,2014-10-01,0.0006417437899112762
13257,983,2014-11-01,0.0007383958565733677
13258,983,2014-12-01,0.001597877747331629
13259,983,2015-01-01,0.001518929960125556
13260,983,2015-02-01,0.0010217773740672995
13261,983,2015-03-01,0.000950597291288036
13262,983,2015-04-01,0.0009330417790375845
13263,983,2015-05-01,0.0018839029502349123
13264,983,2015-06-01,0.0021202842085477447
13265,983,2015-07-01,0.0023386125878285956
13266,983,2015-08-01,0.002223011584813455
13267,983,2015-09-01,0.0020556313621835852
13268,983,2015-10-01,0.0020600527463987333
13269,983,2015-11-01,0.0018235072831689625
13270,983,2015-12-01,0.0008985984931590127
13271,983,2016-01-01,0.00992272359590247
13272,983,2016-02-01,0.010491879728635939
13273,983,2016-03-01,0.010348541503899284
13274,983,2016-04-01,0.01011637733439876
13275,983,2016-05-01,0.009233993135388403
13276,983,2016-06-01,0.008487385597821735
13277,983,2016-07-01,0.007915380611556914
13278,983,2016-08-01,0.007380701998673428
13279,983,2016-09-01,0.007494580671986624
13280,983,2016-10-01,0.007259651504296169
13281,983,2016-11-01,0.0069992514704846085
13282,983,2016-12-01,0.007974963265254997
13294,985,2014-03-01,0.0011953186434697997
13295,985,2014-04-01,0.010228549202734393
13296,985,2014-05-01,0.010639366546272587
13297,985,2014-06-01,0.01069098543848575
13298,985,2014-07-01,0.010218972720508177
13299,985,2014-08-01,0.01040279657488597
13300,985,2014-09-01,0.010809680689999983
13301,985,2014-10-01,0.010463307888496984
13302,985,2014-11-01,0.010091560759433188
13303,985,2014-12-01,0.009193150437197815
13304,985,2015-01-01,0.010909883219981946
13305,985,2015-02-01,0.010644251130318307
13306,985,2015-03-01,0.010659896356356916
13307,985,2015-04-01,0.004102223334540523
13308,985,2015-05-01,0.006576402907501303
13309,985,2015-06-01,0.007455828023341018
13310,985,2015-07-01,0.006986556477566423
13311,985,2015-08-01,0.006781263048549803
13312,985,2015-09-01,0.005797071433394471
13313,985,2015-10-01,0.006651310587461279
13314,985,2015-11-01,0.006365647462641121
13315,985,2015-12-01,0.008177200400173485
13316,985,2016-01-01,0.007900350382558357
13317,985,2016-02-01,0.014460557011058717
13318,985,2016-03-01,0.015905758645090463
13319,985,2016-04-01,0.015496651022340954
13320,985,2016-05-01,0.013078754970821733
13321,985,2016-06-01,0.012375577322120615
13322,985,2016-07-01,0.01192325950445823
13323,985,2016-08-01,0.012359863025584594
13324,985,2016-09-01,0.011742175243978916
13325,985,2016-10-01,0.010185255766298045
13326,985,2016-11-01,0.009824857848711512
13327,985,2016-12-01,0.008707331017935018
13339,987,2014-03-01,0.004571388385026229
13340,987,2014-04-01,0.004536092492338566
13341,987,2014-05-01,0.004382619961387326
13342,987,2014-06-01,0.004071343305705748
13343,987,2014-07-01,0.0038869207491177772
13344,987,2014-08-01,0.003069624733120374
13345,987,2015-01-01,0.0051809813651650044
13346,987,2015-02-01,0.005467279389273951
13347,987,2015-03-01,0.005282005769729751
13348,987,2015-04-01,0.011355474912380079
13349,987,2015-05-01,0.010951568872363593
13350,987,2015-06-01,0.010589714078311626
13351,987,2015-07-01,0.0101108084016379
13352,987,2015-08-01,0.0122162963691234
13353,987,2015-09-01,0.013860505567783657
13354,987,2015-10-01,0.013746930960844506
13355,987,2015-11-01,0.012407509266051121
13356,987,2015-12-01,0.014846060629457272
13357,987,2016-01-01,0.0126867083414827
13358,987,2016-02-01,0.013533563174987865
13359,987,2016-03-01,0.01280877411460852
13360,987,2016-04-01,0.012227861804423867
13361,987,2016-05-01,0.01162614494833089
13362,987,2016-06-01,0.0111084663405452
13363,987,2016-07-01,0.011885937901865885
13364,987,2016-08-01,0.009194351243918748
13376,988,2014-03-01,0.005229120771499917
13377,988,2014-04-01,0.005077044736594161
13378,988,2014-05-01,0.004815814568941546
13379,988,2014-06-01,0.004537820240781868
13380,988,2014-07-01,0.004843786800430011
13381,988,2014-08-01,0.004083274442133897
13382,988,2014-09-01,0.003947876856580102
13383,988,2014-10-01,0.004482590169427743
13384,988,2014-11-01,0.004400436035966547
13385,988,2014-12-01,0.005016248817334059
13386,988,2015-01-01,0.005500206019958976
13387,988,2015-02-01,0.0035722598008153176
13388,988,2015-03-01,0.00312829955852289
